lab_id,model_id,memorable,dominant,attractive,trustworthy,gender-typical,attractive (unstd),trustworthy (unstd),dominant (unstd)
MF0004,0001,4.536585365853658,3.098901098901099,3.7261904761904763,4.7272727272727275,5.0875,3.7738095238095237,4.367816091954023,3.723404255319149
MF0004,0002,4.109756097560975,4.78021978021978,4.630952380952381,4.409090909090909,5.7875,4.035714285714286,4.183908045977011,4.4787234042553195
MF0004,0003,4.036585365853658,3.6373626373626373,3.5,4.340909090909091,4.8125,3.357142857142857,4.344827586206897,3.734042553191489
MF0004,0004,4.060975609756097,3.5934065934065935,3.357142857142857,4.181818181818182,5.0875,3.357142857142857,4.494252873563219,3.5638297872340425
MF0004,0005,4.2682926829268295,3.7362637362637363,3.488095238095238,4.6022727272727275,5.6625,3.5,4.620689655172414,3.74468085106383
MF0004,0006,4.036585365853658,4.1208791208791204,3.380952380952381,4.056818181818182,3.9,3.107142857142857,3.4022988505747125,3.776595744680851
MF0004,0007,4.012195121951219,3.879120879120879,3.5595238095238093,4.193181818181818,5.0125,3.7023809523809526,4.390804597701149,3.7127659574468086
MF0004,0008,4.121951219512195,4.384615384615385,4.238095238095238,4.090909090909091,5.725,4.2976190476190474,4.482758620689655,4.659574468085107
MF0004,0009,3.9634146341463414,4.142857142857143,4.071428571428571,4.409090909090909,5.375,3.892857142857143,4.735632183908046,4.223404255319149
MF0004,0010,3.8658536585365852,3.5494505494505493,3.011904761904762,3.875,4.7875,3.2976190476190474,4.7701149425287355,3.4680851063829787
MF0005,0001,4.073170731707317,4.65934065934066,3.2023809523809526,3.6704545454545454,5.7125,3.2142857142857144,3.6551724137931036,4.425531914893617
MF0005,0002,4.2317073170731705,3.9450549450549453,4.416666666666667,4.613636363636363,5.4375,4.583333333333333,4.850574712643678,3.5106382978723403
MF0005,0003,4.646341463414634,4.329670329670329,4.369047619047619,4.465909090909091,5.7375,4.392857142857143,4.793103448275862,4.042553191489362
MF0005,0004,4.036585365853658,4.373626373626373,3.5238095238095237,4.295454545454546,5.9,3.3452380952380953,4.344827586206897,4.308510638297872
MF0005,0005,3.841463414634146,3.9450549450549453,2.9642857142857144,3.9318181818181817,5.3375,3.0714285714285716,4.241379310344827,3.425531914893617
MF0005,0006,4.134146341463414,3.659340659340659,2.9642857142857144,3.8636363636363638,4.275,3.0238095238095237,4.149425287356322,3.8404255319148937
MF0005,0007,4.646341463414634,4.142857142857143,3.261904761904762,3.5454545454545454,4.4125,3.3333333333333335,3.471264367816092,4.287234042553192
MF0005,0008,3.658536585365854,3.901098901098901,3.1904761904761907,4.215909090909091,5.2,3.107142857142857,3.9655172413793105,3.9148936170212765
MF0005,0009,4.573170731707317,4.604395604395604,3.4166666666666665,4.045454545454546,4.95,3.857142857142857,4.264367816091954,4.202127659574468
MF0005,0010,3.902439024390244,3.857142857142857,3.2976190476190474,4.4772727272727275,5.475,3.1666666666666665,4.436781609195402,3.627659574468085
MF0006,0002,4.097560975609756,3.923076923076923,3,3.8636363636363638,4.4875,2.9642857142857144,3.9885057471264367,3.8297872340425534
MF0006,0003,4.219512195121951,3.241758241758242,3.142857142857143,4.1022727272727275,4.725,NA,NA,NA
MF0006,0004,4.975609756097561,4.912087912087912,2.9047619047619047,2.75,4.8625,NA,NA,NA
MF0006,0005,3.9634146341463414,3.7142857142857144,3.2023809523809526,4.136363636363637,5.0375,3.4404761904761907,4.206896551724138,3.6808510638297873
MF0006,0006,4.012195121951219,3.791208791208791,3.5,4.090909090909091,5.6625,3.5714285714285716,3.6551724137931036,3.6382978723404253
MF0006,0007,4.390243902439025,4.054945054945055,4.4523809523809526,4.579545454545454,5.225,4.178571428571429,3.8735632183908044,4.159574468085107
MF0006,0008,4.5,4.3076923076923075,2.7738095238095237,3.3068181818181817,5.4875,NA,NA,NA
MF0006,0009,4.085365853658536,3.769230769230769,3.511904761904762,4.2272727272727275,5.6375,NA,NA,NA
MF0006,0010,3.8536585365853657,3.4395604395604398,3.130952380952381,4.215909090909091,4.8,3.1904761904761907,4.32183908045977,3.393617021276596
MF0006,0011,4.487804878048781,4.417582417582418,3.6785714285714284,3.8863636363636362,5.75,NA,NA,NA
MF0006,0012,4.7682926829268295,3.923076923076923,4.25,3.897727272727273,4.25,NA,NA,NA
MF0006,0013,4.170731707317073,3.681318681318681,3.369047619047619,4.238636363636363,4.8625,NA,NA,NA
MF0008,0002,3.9390243902439024,3.5604395604395602,3.2738095238095237,4.670454545454546,5.1,3.4285714285714284,4.781609195402299,3.4680851063829787
MF0008,0004,4.621951219512195,4.670329670329671,4.833333333333333,4.715909090909091,5.9625,4.571428571428571,4.850574712643678,4.446808510638298
MF0008,0005,3.731707317073171,3.5164835164835164,3.511904761904762,4.204545454545454,4.8125,3.7261904761904763,4.804597701149425,3.5319148936170213
MF0008,0006,4.2439024390243905,3.5384615384615383,3.4642857142857144,4.465909090909091,4.975,3.511904761904762,4.655172413793103,3.297872340425532
